Molecule_ID,Composition
1039,HHe4
1040,nHLi3
1041,HHe4
1042,HHe4
1043,n3HeLi
1044,HHe4
1045,HHe4
1046,HHe4
1047,nHe4
1048,H2LiBe2
1049,HHe4
1050,n3HeLi
1051,H2Li2
1052,nHLi3
1053,nHe4
1054,nHe4
1055,nHe4
1056,HHe4
1057,H3HeLi
1058,HHe4
1059,HHe4
1060,HHe4
1061,H2He2
1062,HHe4
1063,HHe4
1064,nHe4
1065,HHe4
1066,HHe4
1067,HHe4
1068,HHe3Li
1069,HBe3
1070,H3HeLi
1071,HHe4
1072,HHe3Li
1073,HHe4
1074,H3HeLi
1075,H3HeLi
1076,H2He2
1077,H2He2
1078,H2Li3
1079,HHe4
1080,HHe4
1081,HHe3
1082,nHe4
1083,H3HeLi
1084,HHe4
1085,H3HeLi
1086,nHe4
1087,H3HeLi
1088,H2Li3
1089,H3HeLi
1090,nHe4
1091,nHLi3
1092,nHe4
1093,H2Li2
1094,H2HeLi2
1095,HHe4
1096,H2Li2
1097,H2HeLi2
1098,nHe3Li
1099,HHe3Li
1100,H3He2
1101,H2Li2
1102,H2He2
1103,HHe4
1104,HHe4
1105,HHe4
1106,nHe3Li
1107,HHe2
1108,H3HeLi
1109,n2Li3
1110,HHe4
1111,nHe4
1112,HHe4
1113,HHe4
1114,HHe4
1115,HHe3Li
1116,H2LiBe2
1117,HHe4
1118,HHe4
1119,HHe4
1120,H3HeLi
1121,H2Li3
1122,H3HeLi
1123,HHe4
1124,HHe4
1125,HHe4
1126,HHe4
1127,H2Li3
1128,H2Li3
1129,HHe4
1130,nHe4
1131,H2HeLi2
1132,H2Li2
1133,H2He2
1134,nHe4
1135,HHe4
1136,H3HeLi
1137,nHe4
1138,H2Li3
1139,HHe4
1140,nHe4
1141,HHe4
1142,HHe3Li
1143,HHe3Li
1144,HHe3Li
1145,H2He2
1146,HHe4
1147,HHe4
1148,H3HeLi
1149,H3HeLi
1150,HHe4
1151,HHe4
1152,HHe4
1153,HHe3Li
1154,nHLi3
1155,HHe4
1156,HHe4
1157,H3He2
1158,HHe4
1159,HHe2
1160,H3HeLi
1161,HHe4
1162,HHe4
1163,nH2He2
1164,HHe4
1165,n3HeLi
1166,HHe4
1167,nHe4
1168,HHe4
1169,H2He2
1170,HHe4
1171,HHe4
1172,HHe4
1173,HHe4
1174,HHe4
1175,HHe4
1176,nHe4
1177,nHe4
1178,nHe4
1179,H3HeLi
1180,H3HeLi
1181,HHeLi2
1182,HHe4
1183,HHe4
1184,HHe4
1185,HHe4
1186,H2LiBe2
1187,H2Li3
1188,HHe4
1189,HHe4
1190,H2Li3
1191,HHe4
1192,HHe4
1193,nHe4
1194,HHe4
1195,HHe4
1196,HHe4
1197,H3HeLi
1198,H2HeLi2
1199,H2Li3
1200,H2HeLi2
1201,HHe4
1202,n3HeLi
1203,HHeLi2
1204,HHe4
1205,HHe4
1206,HHe4
1207,HHe4
1208,HHe4
1209,H3HeLi
1210,HHe4
1211,nHe4
1212,n3HeLi
1213,HHe4
1214,nHe4
1215,H2Li3
1216,HHe4
1217,HHe4
1218,nHe4
1219,H3HeLi
1220,HHe4
1221,HHe4
1222,H2He2
1223,nHe4
1224,H3HeLi
1225,H3HeLi
1226,HHe4
1227,HHe4
1228,nHe4
1229,H3HeLi
1230,HBe3
1231,HHe3
1232,H3HeLi
1233,H3HeLi
1234,HHe4
1235,H3HeLi
1236,H3HeLi
1237,H3HeLi
1238,H3HeLi
1239,H2Li3
1240,HHe4
1241,H3HeLi
1242,HHe4
1243,H2Li3
1244,H2He2
1245,HHe4
1246,HHe4
1247,HHe3
1248,H2Li3
1249,n2Li3
1250,nHe4
1251,HHe4
1252,HHe4
1253,HHe4
1254,HHe4
1255,H2He3
1256,H2Li3
1257,HHe4
1258,HHe4
1259,HHe4
1260,H2Li3
1261,nHe4
1262,HHe4
1263,n2He3
1264,H3HeLi
1265,HHe4
1266,HHe4
1267,HHe4
1268,H3HeLi
1269,HHe4
1270,nHe4
1271,n3HeLi
1272,H3HeLi
1273,HHe4
1274,HHeLi2
1275,H2Li3
1276,HHe4
1277,H2He2Li
1278,H3HeLi
1279,H2He2Li
1280,HHe4
1281,HHe4
1282,H2Li3
1283,HHe4
1284,nHe4
1285,H2Li2
1286,HHe4
1287,nHe4
1288,HHe4
1289,nHe4
1290,HHe4
1291,HHe4
1292,HHe4
1293,HHe4
1294,HHe4
1295,H2He2
1296,HHe4
1297,HHe4
1298,HHe4
1299,H2Li3
1300,HHe4
1301,HHe4
1302,nHe4
1303,HHe4
1304,HHe4
1305,HHe4
1306,HHe4
1307,n2He4
1308,HHe4
1309,nHe4
1310,H2He4
1311,HHe4Li
1312,H2He2
1313,H2He3
1314,HHeLi3
1315,HHe4
1316,nHLi2
1317,HHe4
1318,nHe4
1319,HHe4
1320,HHe4
1321,H2Li2
1322,H2He2
1323,H2He2
1324,H2He2
1325,HHe3
1326,HHe3
1327,HHeLi2
1328,nHeLi2
1329,H2He2
1330,H2He2
1331,HHe3
1332,H2He2
1333,H2He2
1334,H3He
1335,nHe4
1336,H2Li3
1337,n2Li3
1338,HHe4
1339,HHe4
1340,HHe4
1341,HHe4
1342,HHe3
1343,HHeLi2
1344,n2He2
1345,HHe3
1346,H2Li2
1347,HHe4
1348,nHe2Li2
1349,HHe2Li2
1350,HHe2Li2
1351,HHe4
1352,HHe4
1353,H3Li2
1354,H2He2
1355,HHeLi2
1356,HHe4
1357,HHe4
1358,n2Li3
1359,HHe4
1360,nHe4
1361,nHe4
1362,H2HeLi2
1363,nHe4
1364,H2He3
1365,HHe4
1366,nHe4
1367,H2Li3
1368,H2Li3
1369,H2He3
1370,HHe4
1371,nHe4
1372,HHe2Li2
1373,HHe4
1374,H2Li3
1375,H2Li3
1376,H2Li3
1377,HHeLi3
1378,nHe4
1379,HHe4
1380,HHe4
1381,HHe4
1382,H4
1383,H2HeLi2
1384,H2HeLi2
1385,H2He3
1386,nHe4
1387,H3HeLi
1388,H3HeLi
1389,H3HeLi
1390,HHe4
1391,HHe4
1392,H2Li3
1393,HHe3
1394,HHe4
1395,nHe4
1396,HHe4
1397,n3HeLi
1398,HHe4
1399,H3HeLi
1400,HHe4
1401,nH2He2
1402,HHe4
1403,nHe4
1404,HHe4
1405,H2He2
1406,H2Li2
1407,H2Li3
1408,H2HeLi2
1409,HHe4
1410,HHe4
1411,HHe4
1412,H3HeLi
1413,HHe4
1414,H2Li3
1415,HHe4
1416,HHe4
1417,HHe4
1418,HHe4
1419,HHe4
1420,HHe4
1421,HHe4
1422,H2HeLi2
1423,HHe4
1424,HHe4
1425,nHe4
1426,H2HeLi2
1427,H2He3
1428,HHe4
1429,HHe4
1430,HHe4
1431,HHe2Li2
1432,HHe4
1433,H3HeLi
1434,nHe4
1435,n3HeLi
1436,H3HeLi
1437,HHe4
1438,nHe4
1439,HHe4
1440,HHe4
1441,HHe4
1442,HHe4
1443,n2Li3
1444,HHe4
1445,HHe4
1446,nHe4
1447,HHe4
1448,HHe4
1449,nHe4
1450,HHe4
1451,n2He3
1452,nHe4
1453,HHe4
1454,nHe4
1455,HHe4
1456,H2He3
1457,HHe4
1458,H2HeLi2
1459,H2HeLi2
1460,H2He3
1461,HHe4
1462,HHe4
1463,H3HeLi
1464,H2HeLi2
1465,HHe4
1466,nHe4
1467,n2HeLi2
1468,HHe4
1469,H2HeLi2
1470,HHe4
1471,H3HeLi
1472,HHe4
1473,H3He2
1474,H3HeLi
1475,H3He2
1476,nHe4
1477,HHe4
1478,HHe4
1479,H2Li3
1480,HHe4
1481,n3HeLi
1482,HHe4
1483,HHe4
1484,H3HeLi
1485,HHe4
1486,HHe4
1487,HHe4
1488,HHe4
1489,nHe4
1490,HHe4
1491,HHe4
1492,nHe5
1493,n2He4
1494,HHe5
1495,H2He4
1496,H2He4
1497,HHe5
1498,HHe5
1499,H2He4
1500,nHe5
1501,H2HeLi2
1502,HHe5
1503,H2He4
1504,HHe5
1505,n2He4
1506,H2He4
1507,H2Li2Be2
1508,H2He4
1509,H2Li4
1510,n2He4
1511,H2He4
1512,H2He4
1513,HHe5
1514,n2He4
1515,H2He4
1516,HHe4
1517,HHe4
1518,n2He4
1519,H2He4
1520,H2He4
1521,H4He2
1522,H2He4
1523,H2He4
1524,HHe5
1525,H2He4
1526,nHe5
1527,H2Li4
1528,H2He4
1529,HHe4
1530,HHe5
1531,HHe5
1532,H4He2
1533,H2Li4
1534,H2He4
1535,H4He2
1536,H2He4
1537,n2He4
1538,H2He4
1539,H2He4
1540,H2Li4
1541,n2He4
1542,HHe4
1543,H4He2
1544,n2He4
1545,HHe5
1546,H2Li2Be2
1547,H4He2
1548,nHe4
1549,H2Li4
1550,HHe4
1551,H2He4
1552,HHe4
1553,HHe4
1554,HHe4
1555,H2He4
1556,n4He2
1557,HHe3
1558,H2Li4
1559,H4He2
1560,H2He3
1561,n2Li4
1562,HHe4
1563,HHe5
1564,H2HeLi2
1565,H2Li4
1566,n2Li4
1567,HHe5
1568,HHe5
1569,n2He4
1570,n2He4
1571,H2Li4
1572,HHe4
1573,H2He4
1574,H2He4
1575,nHe4
1576,H2Li2Be2
1577,HHe5
1578,H2Li4
1579,n2He4
1580,H6
1581,H2He4
1582,H2He4
1583,H2He4
1584,n2Li2Be2
1585,H2He4
1586,H2Li2Be2
1587,HHe5
1588,nHe4
1589,n2He4
1590,n2He4
1591,H2He4
1592,HHe5
1593,H2He3
1594,H2He4
1595,H2Li4
1596,H2He4
1597,H2He4
1598,HHe5
1599,H2He4
1600,HHe5
1601,HHe5
1602,HHe5
1603,H2Li3
1604,H2He4
1605,H4He2
1606,H2He4
1607,nHe5
1608,H2He4
1609,n2He4
1610,H2He4
1611,HHe5
1612,H6
1613,HHe5
1614,H6
1615,H2He4
1616,HHe5
1617,nHe5
1618,H2HeLi2
1619,H2He4
1620,H2He4
1621,HHe5
1622,H6
1623,H2He4
1624,HHe5
1625,nHe4
1626,HHe5
1627,H2He4
1628,H2He4
1629,H2He4
1630,H2He4
1631,H4He2
1632,H2Li4
1633,n2He4
1634,HHe5
1635,HHe5
1636,n2He4
1637,H2He4
1638,H2He4
1639,H2Li2Be2
1640,H2He4
1641,H2Li4
1642,H4He2
1643,H2He4
1644,HHe5
1645,H2He4
1646,H2Li4
1647,H2He4
1648,H2Li4
1649,HHe4Li
1650,HHe5
1651,nHe5
1652,n2He4
1653,H2He4
1654,HHe4Li
1655,HHe5
1656,n2He4
1657,HHe2
1658,H2Li3
1659,H2HeLi2
1660,H2HeLi2
1661,HHe4
1662,nHe4
1663,H2He3
1664,HHe4
1665,nHe4
1666,H3HeLi
1667,nHe4
1668,HHe2Li2
1669,H3HeLi
1670,nHe4
1671,H2He4
1672,H3HeLi
1673,H2He4
1674,H2He4
1675,H2He4
1676,HHe5
1677,n2H2He2
1678,n2Li4
1679,H2He4
1680,n2He4
1681,HHe5
1682,H2He4
1683,HHe5
1684,H2He4
1685,H2He4
1686,HHe5
1687,H2He4
1688,HHe4Li
1689,H2He4
1690,HHe4Li
1691,HHe5
1692,n2He4
1693,nHHe4
1694,n2Li3
1695,HHe5
1696,H2He4
1697,H2Li4
1698,H2He4
1699,n2He4
1700,H2He4
1701,HHe4Li
1702,H2He4
1703,HHe4Li
1704,HHe5
1705,HHe5
1706,H2He4
1707,H2He4
1708,n2H2He2
1709,H2Li4
